gene	Gene.Ontology.IDs
LOC111126949	GO:0005042; GO:0005737; GO:0008233; GO:0016020; GO:0043123; GO:0046330
LOC111112434	GO:0000981; GO:0003700; GO:0005634; GO:0016607; GO:0043565; GO:0045944
LOC111120752	GO:0004750; GO:0005829; GO:0005975; GO:0006098; GO:0009052; GO:0042802; GO:0042803; GO:0046872; GO:0070062
LOC111105685	GO:0003682; GO:0004518; GO:0005634; GO:0035098; GO:0035102; GO:0040029; GO:0046872
LOC111113860	GO:0004062; GO:0005737; GO:0006068; GO:0006805; GO:0008146; GO:0009812; GO:0030855; GO:0042403; GO:0050427; GO:0051923
LOC111109550	GO:0004062; GO:0005737; GO:0005764; GO:0008146; GO:0051923
LOC111109753	GO:0004062; GO:0005737; GO:0005829; GO:0006068; GO:0006576; GO:0006805; GO:0008146; GO:0009812; GO:0018958; GO:0030855; GO:0042403; GO:0050427; GO:0051923
LOC111109452	GO:0004062; GO:0005829; GO:0008146; GO:0009812; GO:0050427
LOC111101273	GO:0005743; GO:0008535; GO:0032977; GO:0032979; GO:0033617; GO:0051204
LOC111101262	GO:0003723; GO:0003743; GO:0006446; GO:0008135; GO:0016281
LOC111133260	GO:0001701; GO:0004725; GO:0005001; GO:0005615; GO:0005829; GO:0005886; GO:0006470; GO:0007165; GO:0010633; GO:0019901; GO:0030054; GO:0035335; GO:0038128; GO:0048471; GO:0070373
LOC111113503	
LOC111102393	GO:0002098; GO:0005737; GO:0006357; GO:0008023; GO:0008607; GO:0033588
LOC111117743	GO:0005319; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005886; GO:0006486; GO:0007041; GO:0008203; GO:0008206; GO:0015485; GO:0030299; GO:0030301; GO:0031902; GO:0032367; GO:0042632; GO:0048471; GO:1904262
LOC111117672	GO:0001618; GO:0001889; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0009410; GO:0010467; GO:0010878; GO:0012501; GO:0015248; GO:0015485; GO:0016020; GO:0016236; GO:0016242; GO:0022008; GO:0030299; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0033344; GO:0038023; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1904262; GO:2000900
LOC111114053	GO:0003723; GO:0005509; GO:0005737; GO:0005783; GO:0006888; GO:0014029; GO:0014032; GO:0030127; GO:0031463; GO:0042802; GO:0046982; GO:0046983; GO:0048208; GO:0048306; GO:0051592; GO:0070062; GO:1902527; GO:1990756
LOC111109809	GO:0000122; GO:0000976; GO:0000978; GO:0003677; GO:0003682; GO:0003700; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006357; GO:0008270; GO:0009755; GO:0010742; GO:0019216; GO:0030154; GO:0030855; GO:0032869; GO:0042752; GO:0045165; GO:0045598; GO:0045892; GO:0045893; GO:0045944; GO:0048384; GO:0048511; GO:0050728; GO:0070888
LOC111102064	GO:0002682; GO:0002951; GO:0005886; GO:0006536; GO:0006750; GO:0006751; GO:0031179; GO:0031638; GO:0036374; GO:0050727; GO:0102953; GO:0103068
