TARGET_ID	INDIVIDUALS	STRATA
CORALSEA40	CORALSEA40	Coral_Sea	1
ADL1	ADL1	New_Caledonia	1
ADL2	ADL2	New_Caledonia	1
ADL3	ADL3	New_Caledonia	1
ADL4	ADL4	New_Caledonia	1
ADL5	ADL5	New_Caledonia	1
ADL6	ADL6	New_Caledonia	1
CM1	CM1	Carins	1
CM17	CM17	Carins	1
CM18-1	CM18-1	Carins	1
CM19	CM19	Carins	1
CM2	CM2	Carins	1
CM20	CM20	Carins	1
CM21	CM21	Carins	1
CM22	CM22	Carins	1
CM23	CM23	Carins	1
CM3	CM3	Carins	1
CM5	CM5	Carins	1
CM6	CM6	Carins	1
CSIRO2	CSIRO2	Gulf_Papua	1
S1474	s1474	Gulf_Papua	1
S1483	s1483	Gulf_Papua	1
G1111	G1111	Indonesia	1
J203	J203	Indonesia	1
J239	J239	Indonesia	1
MB116	MB116	South_East_Queensland	1
MB117	MB117	South_East_Queensland	1
MB118	MB118	South_East_Queensland	1
MB119	MB119	South_East_Queensland	1
MB12	MB12	South_East_Queensland	1
MB121	MB121	South_East_Queensland	1
MB122	MB122	South_East_Queensland	1
MB14	MB14	South_East_Queensland	1
MB34-2	MB34-2	South_East_Queensland	1
MB41	MB41	South_East_Queensland	1
MB6	MB6	South_East_Queensland	1
NE01	NE01	South_East_Queensland	1
NE02	NE02	South_East_Queensland	1
NE03	NE03	South_East_Queensland	1
NE04	NE04	South_East_Queensland	1
NE05	NE05	South_East_Queensland	1
NE06	NE06	South_East_Queensland	1
NE07	NE07	South_East_Queensland	1
NE09	NE09	South_East_Queensland	1
NE11	NE11	South_East_Queensland	1
NE12	NE12	South_East_Queensland	1
NE14	NE14	South_East_Queensland	1
NE15	NE15	South_East_Queensland	1
NE16	NE16	South_East_Queensland	1
NE17	NE17	South_East_Queensland	1
NE18	NE18	South_East_Queensland	1
NE20	NE20	South_East_Queensland	1
NE21	NE21	South_East_Queensland	1
NE22	NE22	South_East_Queensland	1
NE23	NE23	South_East_Queensland	1
NE24	NE24	South_East_Queensland	1
NE25	NE25	South_East_Queensland	1
NE26	NE26	South_East_Queensland	1
NE27	NE27	South_East_Queensland	1
NE28	NE28	South_East_Queensland	1
NE29	NE29	South_East_Queensland	1
NE30	NE30	South_East_Queensland	1
NE31	NE31	South_East_Queensland	1
NE32	NE32	South_East_Queensland	1
NE33	NE33	South_East_Queensland	1
NE35	NE35	South_East_Queensland	1
NE36	NE36	South_East_Queensland	1
NE37	NE37	South_East_Queensland	1
NE38	NE38	South_East_Queensland	1
NE39	NE39	South_East_Queensland	1
NE40	NE40	South_East_Queensland	1
NE41	NE41	South_East_Queensland	1
NE42	NE42	South_East_Queensland	1
NE43	NE43	South_East_Queensland	1
NE44	NE44	South_East_Queensland	1
NE45	NE45	South_East_Queensland	1
NE46	NE46	South_East_Queensland	1
NE49	NE49	South_East_Queensland	1
SQ001	SQ001	South_East_Queensland	2
SQ003	SQ003	South_East_Queensland	2
SQ004	SQ004	South_East_Queensland	2
SQ005	SQ005	South_East_Queensland	2
SQ007	SQ007	South_East_Queensland	2
SQ008	SQ008	South_East_Queensland	2
SQ009	SQ009	South_East_Queensland	2
SQ010	SQ010	South_East_Queensland	2
SQ011	SQ011	South_East_Queensland	2
SQ013	SQ013	South_East_Queensland	2
SQ015	SQ015	South_East_Queensland	2
SQ016	SQ016	South_East_Queensland	2
SQ017	SQ017	South_East_Queensland	2
SQ018	SQ018	South_East_Queensland	2
SQ019	SQ019	South_East_Queensland	2
SQ020	SQ020	South_East_Queensland	2
SQ021	SQ021	South_East_Queensland	2
SQ022	SQ022	South_East_Queensland	2
SQ023	SQ023	South_East_Queensland	2
SQ024	SQ024	South_East_Queensland	2
SQ028	SQ028	South_East_Queensland	2
SQ029	SQ029	South_East_Queensland	2
SQ030	SQ030	South_East_Queensland	2
SQ031	SQ031	South_East_Queensland	2
SQ032	SQ032	South_East_Queensland	2
SQ033	SQ033	South_East_Queensland	2
SQ034	SQ034	South_East_Queensland	2
SQ035	SQ035	South_East_Queensland	2
SQ036	SQ036	South_East_Queensland	2
SQ037	SQ037	South_East_Queensland	2
SQ040	SQ040	South_East_Queensland	2
SQ044	SQ044	South_East_Queensland	2
SQ047	SQ047	South_East_Queensland	2
SQ048	SQ048	South_East_Queensland	2
SQ050	SQ050	South_East_Queensland	2
SQ051	SQ051	South_East_Queensland	2
SQ052	SQ052	South_East_Queensland	2
SQ053	SQ053	South_East_Queensland	2
SQ054	SQ054	South_East_Queensland	2
