Sample	Lat	Long
HAD1	56.320136	10.043375
HAD10	57.320136	11.043375
HAD11	58.320136	12.043375
HAD12	59.320136	13.043375
HAD13	60.320136	14.043375
HAD14	61.320136	15.043375
HAD15	62.320136	16.043375
HAD16	63.320136	17.043375
HAD17	64.320136	18.043375
HAD18	65.320136	19.043375
HAD19	66.320136	20.043375
HAD2	67.320136	21.043375
HAD20	68.320136	22.043375
HAD21	69.320136	23.043375
HAD22	70.320136	24.043375
HAD23	71.320136	25.043375
HAD24	72.320136	26.043375
HAD25	73.320136	27.043375
HAD3	74.320136	28.043375
HAD4	75.320136	29.043375
HAD5	76.320136	30.043375
HAD6	77.320136	31.043375
HAD7	78.320136	32.043375
HAD8	79.320136	33.043375
HAD9	80.320136	34.043375
KIB1	56.037292	8.856728
KIB10	57.037292	9.856728
KIB11	58.037292	10.856728
KIB12	59.037292	11.856728
KIB13	60.037292	12.856728
KIB14	61.037292	13.856728
KIB15	62.037292	14.856728
KIB16	63.037292	15.856728
KIB17	64.037292	16.856728
KIB2	65.037292	17.856728
KIB3	66.037292	18.856728
KIB4	67.037292	19.856728
KIB5	68.037292	20.856728
KIB6	69.037292	21.856728
KIB7	70.037292	22.856728
KIB8	71.037292	23.856728
KIB9	72.037292	24.856728
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
HAL	56.373775	9.346417
KRO1	56.3957	9.347881
KRO10	56.3957	9.347881
KRO11	56.3957	9.347881
KRO12	56.3957	9.347881
KRO13	56.3957	9.347881
KRO14	56.3957	9.347881
KRO15	56.3957	9.347881
KRO16	56.3957	9.347881
KRO17	56.3957	9.347881
KRO18	56.3957	9.347881
KRO19	56.3957	9.347881
KRO2	56.3957	9.347881
KRO20	56.3957	9.347881
