INDIVIDUALS	STRATA	POP_TYPE	ECOTYPE
Hadsten10_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten12_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten13_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten14_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten15_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten16_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten17_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten18_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten19_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten1_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten20_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten21_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten22_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten23_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten24_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten25_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten2_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten3_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten4_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hald_So11_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hadsten11_q_75.align	HAD	FRESHWATER	SMALL_LAKE
Hald_So10_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So12_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So13_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So14_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So15_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So16_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So17_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So18_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So19_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So1_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So20_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So21_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So22_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So23_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So24_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So25_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So2_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So3_q_75.align	HAL	FRESHWATER	BIG_LAKE
Hald_So4_q_75.align	HAL	FRESHWATER	BIG_LAKE
Kibeak10_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak11_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak12_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak13_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak14_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak15_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak16_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak17_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak1_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak2_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak3_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak4_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak5_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak6_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak7_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak8_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Kibeak9_q_75.align	KIB	FRESHWATER	SMALL_LAKE
Krobeak10_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak11_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak12_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak13_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak14_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak15_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak16_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak17_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak18_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak19_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak1_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak20_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak21_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak22_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak23_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak24_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak25_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak2_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak3_q_75.align	KRO	FRESHWATER	BIG_LAKE
Krobeak4_q_75.align	KRO	FRESHWATER	BIG_LAKE
Mosso10_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso11_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso12_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso13_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso14_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso15_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso16_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso17_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso18_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso19_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso1_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso20_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso22_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso23_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso24_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso25_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso2_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso3_q_75.align	MOS	FRESHWATER	BIG_LAKE
Mosso4_q_75.align	MOS	FRESHWATER	BIG_LAKE
