"ind_index" "x" "y" "phenotype1_mat" "phenotype2_MTWetQ" "phenotype3_MTDQ" "phenotype4_PDM" "phenotype5_PwarmQ" "phenotype6_PWM" "env1_mat" "env2_MTWetQ" "env3_MTDQ" "env4_PDM" "env5_PwarmQ" "env6_PWM"
33 0.406184 0.233272 0.737967 -0.191421 0.142992 -0.131894 -0.452497 -0.541651 0.762432 -0.162238 0.261281 -0.332078 -0.471502 -0.477821
34 0.425697 0.837158 -0.274081 -0.428332 -0.01288 0.221058 0.229296 0.0665969 -0.33933 -0.407667 -0.0582962 0.28803 0.19881 0.01768
44 0.671673 0.581744 -0.676326 0.0866287 -0.470671 0.218813 0.260098 -0.103465 -0.567733 0.0909278 -0.414353 0.234899 0.230255 -0.0535109
45 0.0174659 0.329922 -0.283221 -0.403942 -0.333718 -0.200554 -0.345915 -0.410001 -0.24586 -0.200759 -0.267455 -0.26526 -0.389828 -0.458979
46 0.0697436 0.121221 0.0576163 -0.303201 0.7316 0.195679 -0.36711 0.196296 -0.1215 -0.306379 0.702858 0.211275 -0.352307 0.212751
64 0.143361 0.233237 0.265628 -0.231873 0.214004 -0.239776 -0.517086 -0.258266 0.103057 -0.286317 0.165706 -0.190813 -0.47665 -0.292774
65 0.61225 0.40245 -0.421039 -0.412337 -0.109637 0.609752 0.126725 0.676185 -0.293883 -0.397341 -0.0246451 0.482951 0.138497 0.556799
72 0.919436 0.0877363 0.227355 -0.37825 0.0352284 0.0759408 -0.279634 -0.0948242 0.196745 -0.306379 -0.0658245 0.0482691 -0.198054 -0.15882
85 0.961088 0.167659 -0.456489 -0.0660458 -0.341581 0.132091 0.036446 0.127372 -0.502416 -0.0288233 -0.334689 0.183281 0.0399095 0.0613705
106 0.300483 0.618283 -0.0130525 -0.509854 0.111542 0.465314 0.193931 0.489332 -0.09498 -0.337866 0.0714402 0.510119 0.264703 0.501752
119 0.945701 0.91696 0.0310871 0.443684 -0.58817 -0.521467 0.646568 0.352827 0.0666436 0.421978 -0.539388 -0.495084 0.585909 0.322847
127 0.547027 0.79133 -0.4432 0.231196 -0.41906 0.0802502 0.238734 -0.0212566 -0.532567 0.183417 -0.436439 0.129772 0.215623 -0.0624867
132 0.082253 0.195875 -0.0191204 -0.270361 0.0650568 -0.071495 -0.287356 -0.0631047 0.125592 -0.273279 0.176299 -0.0763346 -0.463612 -0.0681776
164 0.239105 0.231854 0.510602 -0.177573 0.23144 -0.419965 -0.728316 -0.492863 0.581291 -0.194426 0.181252 -0.467916 -0.6538 -0.599201
173 0.756559 0.153294 -0.26987 -0.402029 0.720072 0.376167 0.00761644 0.185656 -0.275891 -0.37894 0.648501 0.535524 -0.00942673 0.269585
175 0.865294 0.278976 -0.335275 0.144179 -0.397329 0.0653892 0.0256772 -0.0454491 -0.492786 0.123942 -0.443302 0.238443 0.0473475 -0.021201
194 0.841615 0.408188 -0.377749 0.20743 -0.413994 0.137115 0.183457 -0.0514581 -0.313259 0.183761 -0.335696 0.0836015 0.0955925 -0.0426637
198 0.601605 0.645256 -0.184158 -0.417543 0.109284 0.177576 0.171275 0.0720111 -0.0764357 -0.380729 0.129278 0.121556 0.0869999 -0.0157883
207 0.58536 0.0036083 0.193647 -0.320852 -0.0940904 0.207359 -0.255136 -0.141162 0.196745 -0.260898 -0.0452348 0.238443 -0.155985 -0.00743908
215 0.0943012 0.62323 0.23091 0.346986 0.0318096 -0.246252 -0.297109 -0.49871 0.350065 0.457761 0.0557115 -0.440748 -0.317249 -0.434058
216 0.112301 0.242972 0.31426 -0.296172 0.238027 -0.217692 -0.503288 -0.27184 0.383072 -0.229231 0.33946 -0.277743 -0.574457 -0.273266
221 0.60787 0.488388 -0.130767 -0.391215 0.114193 0.387924 0.102019 0.449969 -0.0765417 -0.367056 0.118317 0.427616 0.151766 0.557763
224 0.850181 0.241638 -0.237854 0.23553 -0.285837 0.107935 0.0367015 -0.04682 -0.293883 0.183417 -0.326627 0.184107 -0.0367902 -0.0900105
