From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
Q8IV45	Q8IV45	reviewed	UN5CL_HUMAN	UNC5C-like protein (Protein unc-5 homolog C-like) (ZU5 and death domain-containing protein)	UNC5CL ZUD	Homo sapiens (Human)	518	GO:0005042; GO:0005737; GO:0008233; GO:0016020; GO:0043123; GO:0046330
P39021	P39021	reviewed	MEOX2_XENLA	Homeobox protein MOX-2	meox2 mox2	Xenopus laevis (African clawed frog)	298	GO:0000981; GO:0003700; GO:0005634; GO:0016607; GO:0043565; GO:0045944
Q96AT9	Q96AT9	reviewed	RPE_HUMAN	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase)	RPE HUSSY-17	Homo sapiens (Human)	228	GO:0004750; GO:0005829; GO:0005975; GO:0006098; GO:0009052; GO:0042802; GO:0042803; GO:0046872; GO:0070062
Q94K49	Q94K49	reviewed	ALP1_ARATH	Protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1 (EC 3.1.-.-)	ALP1 At3g63270 F16M2.120	Arabidopsis thaliana (Mouse-ear cress)	396	GO:0003682; GO:0004518; GO:0005634; GO:0035098; GO:0035102; GO:0040029; GO:0046872
Q95JD5	Q95JD5	reviewed	ST1B1_CANLF	Sulfotransferase 1B1 (ST1B1) (cSULT1B1) (EC 2.8.2.1) (Sulfotransferase family cytosolic 1B member 1)	SULT1B1 ST1B2	Canis lupus familiaris (Dog) (Canis familiaris)	296	GO:0004062; GO:0005737; GO:0006068; GO:0006805; GO:0008146; GO:0009812; GO:0030855; GO:0042403; GO:0050427; GO:0051923
Q9D939	Q9D939	reviewed	ST1C2_MOUSE	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1)	Sult1c2 Sult1c1	Mus musculus (Mouse)	296	GO:0004062; GO:0005737; GO:0005764; GO:0008146; GO:0051923
O43704	O43704	reviewed	ST1B1_HUMAN	Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase)	SULT1B1 ST1B2 SULT1B2	Homo sapiens (Human)	296	GO:0004062; GO:0005737; GO:0005829; GO:0006068; GO:0006576; GO:0006805; GO:0008146; GO:0009812; GO:0018958; GO:0030855; GO:0042403; GO:0050427; GO:0051923
A0A2K5X3B6	A0A2K5X3B6	reviewed	ST1C4_MACFA	Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1)	SULT1C4	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	302	GO:0004062; GO:0005829; GO:0008146; GO:0009812; GO:0050427
Q5R7D0	Q5R7D0	reviewed	COX18_PONAB	Cytochrome c oxidase assembly protein COX18, mitochondrial	COX18 OXA1L2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	334	GO:0005743; GO:0008535; GO:0032977; GO:0032979; GO:0033617; GO:0051204
Q5R7J9	Q5R7J9	reviewed	IF4G2_PONAB	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2)	EIF4G2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	907	GO:0003723; GO:0003743; GO:0006446; GO:0008135; GO:0016281
